"id","cat","1","pa","name","fg_key"
"405395","batter",-1.64661887303225e-38,324,"Albert Pujols","1177"
"408234","batter",6.46884789950283e-38,460,"Miguel Cabrera","1744"
"425772","batter",-4.13946405771359e-38,136,"Jeff Mathis","3448"
"425783","batter",2.41477075171832e-38,252,"Shin-Soo Choo","3174"
"425784","batter",-1.07417079163559e-37,8,"Rene Rivera","3648"
"425877","batter",1.74991962211958e-39,340,"Yadier Molina","7007"
"429664","batter",4.3402769959273e-38,362,"Robinson Cano","3269"
"429665","batter",-3.7442301139475e-38,366,"Edwin Encarnacion","2151"
"435062","batter",1.62264146437432e-38,196,"Howie Kendrick","4229"
"435522","batter",-7.6328561915369e-38,82,"Neil Walker","7539"
"435559","batter",-7.93873155369045e-39,258,"Kurt Suzuki","8259"
"443558","batter",6.32077553385434e-38,436,"Nelson Cruz","2434"
"444482","batter",-2.56751514911793e-38,436,"David Peralta","2136"
"444489","batter",5.58474460402573e-38,90,"Manny Pina","2829"
"445055","batter",-4.38910374801896e-38,114,"Jon Jay","5227"
"446308","batter",6.6977726876414e-39,82,"Matt Wieters","4298"
"446334","batter",4.25949697319125e-38,418,"Evan Longoria","9368"
"446481","batter",-2.01505338373653e-37,26,"Sean Rodriguez","6589"
"448801","batter",-1.21291633232241e-37,112,"Chris Davis","9272"
"451594","batter",-4.50409717758067e-38,230,"Dexter Fowler","4062"
"452095","batter",-3.42946585091866e-38,160,"Tyler Flowers","9134"
"452254","batter",-1.84469061097432e-38,112,"Hunter Pence","8252"
"452678","batter",7.98248130032133e-40,426,"Asdrubal Cabrera","4962"
"453568","batter",5.45872532104018e-39,488,"Charlie Blackmon","7859"
"453943","batter",-3.00910596025953e-38,344,"Todd Frazier","785"
"455117","batter",-9.7081062866393e-39,344,"Martin Maldonado","6887"
"455139","batter",-8.86620835993594e-38,166,"Robinson Chirinos","3142"
"455976","batter",-1.28938242923021e-38,300,"Nick Markakis","5930"
"456124","batter",-2.71527133901689e-38,62,"Erik Kratz","4403"
"456488","batter",-2.13982710600467e-37,4,"Eduardo Nunez","6848"
"456715","batter",8.63521199566752e-38,40,"Lorenzo Cain","9077"
