"id","cat","1","pa","name","fg_key"
"424144","pitcher",4.67611962044201e-38,142,"Oliver Perez","1514"
"425794","pitcher",-4.69541044492211e-39,558,"Adam Wainwright","2233"
"425844","pitcher",1.92101176862008e-38,580,"Zack Greinke","1943"
"430935","pitcher",-5.8618687278668e-38,28,"Cole Hamels","4972"
"433589","pitcher",-1.02356951210393e-39,198,"Yusmeiro Petit","4020"
"434378","pitcher",6.17107663294068e-38,42,"Justin Verlander","8700"
"434671","pitcher",-3.07858838123366e-38,488,"Anibal Sanchez","3284"
"435522","pitcher",8.33403541345079e-38,6,"Neil Walker","7539"
"444468","pitcher",-3.58452529475942e-38,190,"Hector Rondon","2391"
"445213","pitcher",1.29675194079859e-38,212,"Brandon Kintzler","9939"
"445276","pitcher",6.38837398938989e-38,214,"Kenley Jansen","3096"
"445926","pitcher",-6.93242026898457e-38,154,"Jesse Chavez","5448"
"446321","pitcher",1.89609002027131e-38,160,"Ross Detwiler","2859"
"446372","pitcher",8.09833474344601e-38,6,"Corey Kluber","2429"
"448179","pitcher",-1.91874323402668e-38,312,"Rich Hill","4806"
"448281","pitcher",-1.19535746764628e-37,68,"Sean Doolittle","1581"
"448855","pitcher",3.89118567814408e-39,202,"Junior Guerra","5702"
"450172","pitcher",-5.80738577314932e-38,52,"Edinson Volquez","3990"
"450203","pitcher",1.82992557957086e-38,342,"Charlie Morton","4676"
"451584","pitcher",-1.52996981163225e-37,48,"Wade Davis","7441"
"452657","pitcher",-4.21862853189438e-38,530,"Jon Lester","4930"
"453172","pitcher",-4.19316318824118e-39,214,"Jared Hughes","9325"
"453178","pitcher",-4.6245291175937e-38,136,"Ian Kennedy","6986"
"453192","pitcher",8.92981060587799e-38,118,"Andrew Miller","6785"
"453265","pitcher",2.52530795991913e-38,146,"Tony Watson","3132"
"453268","pitcher",1.20426624160153e-38,208,"Daniel Bard","7115"
"453281","pitcher",6.59755680210986e-40,206,"Wade LeBlanc","5221"
"453284","pitcher",5.96406677948947e-38,134,"Blake Parker","5224"
"453286","pitcher",4.34628267823441e-39,590,"Max Scherzer","3137"
"453343","pitcher",4.09166216242862e-38,196,"Mark Melancon","4264"
"453562","pitcher",-3.68339475970667e-38,380,"Jake Arrieta","4153"
"453943","pitcher",-3.29472533611765e-37,6,"Todd Frazier","785"
"455119","pitcher",4.40695156749739e-38,142,"Chris Martin","11847"
"456124","pitcher",-1.38118266602109e-37,18,"Erik Kratz","4403"
"456501","pitcher",-1.16336416138985e-38,554,"Johnny Cueto","6893"
"456701","pitcher",-2.42662141646559e-38,66,"Homer Bailey","8362"
"457915","pitcher",-3.54530429186147e-39,140,"Javy Guerra","7407"
"457918","pitcher",4.11431201664284e-38,394,"J. A. Happ","7410"
"458676","pitcher",1.23911320007472e-38,384,"Josh Lindblom","7882"
"458677","pitcher",3.61726876497178e-38,170,"Justin Wilson","4301"
"458681","pitcher",4.26224012015542e-38,688,"Lance Lynn","2520"
"458708","pitcher",-4.03934972573222e-39,322,"Josh Tomlin","9388"
"459429","pitcher",7.83561939637734e-38,158,"Jake McGee","7550"
"460077","pitcher",-2.23928827673637e-37,16,"Drew Butera","3411"
"461325","pitcher",4.85446389295117e-38,196,"Tyler Clippard","5640"
"461829","pitcher",-3.90661861906215e-38,306,"Gio Gonzalez","7448"
"465657","pitcher",3.66432697419001e-38,202,"Joakim Soria","6941"
"467008","pitcher",3.49792927280126e-38,28,"Pedro Strop","4070"
"467100","pitcher",-8.30552407422799e-38,176,"Ivan Nova","1994"
"468504","pitcher",-8.83818254284757e-39,48,"Jhoulys Chacin","2608"
"471911","pitcher",1.95583957488859e-38,588,"Carlos Carrasco","6632"
"472610","pitcher",-8.26337312014745e-38,88,"Luis Garcia","6984"
"474463","pitcher",-6.16447702739122e-39,406,"Brett Anderson","8223"
"475054","pitcher",2.43763343515793e-38,78,"Chaz Roe","9866"
"475479","pitcher",-2.19986363476571e-39,170,"David Phelps","6316"
"476454","pitcher",-2.73778109270625e-38,120,"Dellin Betances","6216"
"476594","pitcher",-1.14169108414063e-38,124,"Robert Stock","6576"
"477132","pitcher",6.75962043263639e-38,496,"Clayton Kershaw","2036"
"488748","pitcher",-1.00730591165922e-37,58,"Ryan Buchter","9456"
"488984","pitcher",-2.52674194138211e-38,204,"Tommy Hunter","1157"
"489119","pitcher",-3.52066111856061e-38,134,"Wade Miley","8779"
"489265","pitcher",4.14027523976782e-41,186,"Sergio Romo","9817"
"489334","pitcher",4.08837168630878e-38,232,"Craig Stammen","7274"
"489446","pitcher",-5.71558011696399e-38,50,"Kirby Yates","9073"
"491624","pitcher",3.8477614728735e-38,106,"Cesar Valdez","9013"
"493603","pitcher",2.47977546177973e-38,170,"Adam Ottavino","1247"
"500610","pitcher",-2.02655712658566e-38,72,"Deolis Guerra","8410"
"500779","pitcher",2.86165456708094e-38,84,"Jose Quintana","11423"
"501303","pitcher",-4.10498336571597e-37,10,"Ehire Adrianza","8418"
"501381","pitcher",4.07607868277413e-38,222,"Michael Pineda","5372"
"501593","pitcher",-4.46869807031527e-38,78,"Luis Avilan","2882"
"501625","pitcher",-5.90338868987758e-39,56,"Jose Alvarez","5358"
"501789","pitcher",-2.15601899048869e-38,168,"Will Harris","3192"
"501985","pitcher",4.8009855934975e-39,478,"Mike Minor","10021"
"502026","pitcher",-6.80933327651782e-39,190,"Jeremy Jeffress","9490"
"502043","pitcher",-3.74993762009212e-38,600,"Kyle Gibson","10123"
"502154","pitcher",6.89008612221564e-38,164,"Zack Britton","3240"
"502171","pitcher",-5.3501354851925e-38,454,"Alex Cobb","6562"
"502179","pitcher",-1.13566046251622e-37,54,"Paolo Espino","8246"
"502188","pitcher",-5.754379638939e-38,154,"Jeff Samardzija","3254"
"502202","pitcher",-8.68240716039196e-39,166,"Brad Boxberger","10133"
"502239","pitcher",1.58800680955961e-38,214,"Trevor Cahill","6249"
"502578","pitcher",-5.90103688935152e-38,16,"Aaron Barrett","11243"
"502624","pitcher",-5.65377612176373e-38,308,"Chase Anderson","6895"
"502706","pitcher",-5.73788219550765e-38,358,"Derek Holland","4141"
"502748","pitcher",-4.24284241573962e-38,24,"Brad Peacock","5401"
"503285","pitcher",5.98968517323079e-38,140,"Darren O'Day","3321"
"503569","pitcher",3.54090509711582e-38,206,"Rafael Dolis","4185"
"504379","pitcher",-2.077285813715e-37,22,"Juan Nicasio","7731"
"506433","pitcher",4.72313688383692e-38,642,"Yu Darvish","13074"
"516969","pitcher",-7.51083399186077e-38,22,"Kelvin Herrera","6033"
"517008","pitcher",5.2497858341013e-38,194,"Alex Colome","6661"
"518397","pitcher",-1.82615507140541e-38,102,"Scott Alexander","10591"
"518489","pitcher",1.18192719602398e-38,220,"Ryan Brasier","5615"
"518516","pitcher",-8.81594305207496e-38,376,"Madison Bumgarner","5524"
"518553","pitcher",-3.94066731838316e-38,186,"Steve Cishek","6483"
"518586","pitcher",3.00849521690684e-37,2,"Charlie Culberson","3298"
"518617","pitcher",7.93342828824219e-38,180,"Jake Diekman","5003"
"518633","pitcher",-4.54304207977628e-39,484,"Danny Duffy","3542"
"518649","pitcher",-2.17653497049363e-37,40,"Brett Eibner","11369"
"518693","pitcher",-5.93311329491909e-39,48,"Sam Freeman","6832"
"518715","pitcher",3.5336466793082e-38,14,"Cory Gearrin","7947"
"518748","pitcher",-7.41938311701006e-38,54,"Justin Grimm","11720"
"518774","pitcher",-1.43550571282787e-37,130,"Matt Harvey","11713"
"518813","pitcher",6.36392838548704e-38,222,"Greg Holland","7196"
"518858","pitcher",-2.25819350612862e-38,170,"Nate Jones","4696"
"518876","pitcher",1.485891164458e-38,248,"Merrill Kelly","11156"
"518886","pitcher",-1.01269371215966e-38,148,"Craig Kimbrel","6655"
"519008","pitcher",-3.95027933078508e-38,184,"T. J. McFarland","3237"
"519141","pitcher",9.10841059996965e-38,170,"Drew Pomeranz","11426"
"519144","pitcher",-2.30371341976292e-38,522,"Rick Porcello","2717"
"519151","pitcher",6.77459168695902e-38,186,"Ryan Pressly","7005"
"519293","pitcher",7.32304062479114e-39,138,"Will Smith","8048"
"519326","pitcher",5.86240750630959e-38,32,"Hunter Strickland","7836"
"519381","pitcher",8.90129330858561e-38,30,"Pat Venditte","7108"
"519393","pitcher",-1.53372303555942e-37,144,"Marcus Walden","8004"
"519443","pitcher",-7.00970319283256e-38,198,"Brandon Workman","11428"
"519455","pitcher",-1.97833768498043e-38,58,"Jordan Zimmermann","4505"
"520980","pitcher",4.97853969925244e-38,140,"Pedro Baez","5420"
